symbol,formula,volume_limit,contract_size,type
USDJPY_o,lots,5,100000,Forex
AUDCAD_o,lots,5,100000,Forex
AUDCHF_o,lots,5,100000,Forex
AUDJPY_o,lots,5,100000,Forex
AUDNZD_o,lots,5,100000,Forex
CADCHF_o,lots,5,100000,Forex
CADJPY_o,lots,5,100000,Forex
CHFJPY_o,lots,5,100000,Forex
EURAUD_o,lots,5,100000,Forex
EURCAD_o,lots,5,100000,Forex
EURCHF_o,lots,5,100000,Forex
EURGBP_o,lots,5,100000,Forex
EURJPY_o,lots,5,100000,Forex
EURNZD_o,lots,5,100000,Forex
GBPAUD_o,lots,5,100000,Forex
GBPCAD_o,lots,5,100000,Forex
GBPCHF_o,lots,5,100000,Forex
GBPJPY_o,lots,5,100000,Forex
GBPNZD_o,lots,5,100000,Forex
NZDCAD_o,lots,5,100000,Forex
NZDCHF_o,lots,5,100000,Forex
NZDJPY_o,lots,5,100000,Forex
NQ100,lots,5,10,Indices
USCRUDE_z,lots,5,1000,Energy
UKBRENT_z,lots,5,1000,Energy
XAGUSD_o,lots,3,5000,Metals
XAUUSD_o,lots,3,100,Metals
XPDUSD_o,lots,3,100,Metals
XAUEUR_o,lots,3,100,Metals
XPTUSD_o,lots,3,50,Metals
XNGUSD_o,lots,1,10000,Energy
USDX,lots,5,100,Indices
SING,lots,5,10,Indices
SING_cl,lots,5,10,Indices
USDX_cl,lots,5,100,Indices
NQ_y,lots,5,20,Indices
HK50_y,lots,5,50,Indices
YM_y,lots,5,5,Indices
FDAX_y,lots,5,25,Indices
SPX_y,lots,5,50,Indices
UKBRENT_y,lots,5,1000,Energy
USCRUDE_y,lots,5,1000,Energy
APTUSD,lots,5,100,Cryptocurrencies
RNDRUSD,lots,5,100,TMP
HBARUSD,lots,5,100,Cryptocurrencies
ARBUSD,lots,5,100,Cryptocurrencies
INJUSD,lots,5,100,Cryptocurrencies
IMXUSD,lots,5,100,Cryptocurrencies
WIFUSD,lots,5,100,Cryptocurrencies
SUIUSD,lots,5,100,Cryptocurrencies
GRTUSD,lots,5,100,Cryptocurrencies
TAOUSD,lots,5,100,Cryptocurrencies
OPUSD,lots,5,100,Cryptocurrencies
ARUSD,lots,5,100,Cryptocurrencies
FTMUSD,lots,5,100,TMP
NOTUSD,lots,5,100,Cryptocurrencies
JASMYUSD,lots,5,100,Cryptocurrencies
